Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-12,42,2013,https://letterboxd.com/claycarson/film/42/,,,,2015-11-09
2019-11-12,300,2006,https://letterboxd.com/claycarson/film/300/,,,,2015-11-09
2019-11-12,(500) Days of Summer,2009,https://letterboxd.com/claycarson/film/500-days-of-summer/,,,,2015-11-09
2019-11-12,One Hundred and One Dalmatians,1961,https://letterboxd.com/claycarson/film/one-hundred-and-one-dalmatians/,,,,2015-11-09
2019-11-12,102 Dalmatians,2000,https://letterboxd.com/claycarson/film/102-dalmatians/,,,,2015-11-09
2019-11-12,12 Years a Slave,2013,https://letterboxd.com/claycarson/film/12-years-a-slave/,,,,2015-11-09
2019-11-12,127 Hours,2010,https://letterboxd.com/claycarson/film/127-hours/,,,,2015-11-09
2019-11-12,2001: A Space Odyssey,1968,https://letterboxd.com/claycarson/film/2001-a-space-odyssey/,,,,2015-11-09
2019-11-12,21 Jump Street,2012,https://letterboxd.com/claycarson/film/21-jump-street/,,,,2015-11-09
2019-11-12,22 Jump Street,2014,https://letterboxd.com/claycarson/film/22-jump-street/,,,,2015-11-09
2019-11-12,3 Ninjas,1992,https://letterboxd.com/claycarson/film/3-ninjas/,,,,2015-11-09
2019-11-12,8 Mile,2002,https://letterboxd.com/claycarson/film/8-mile/,,,,2015-11-09
2019-11-12,A Beautiful Mind,2001,https://letterboxd.com/claycarson/film/a-beautiful-mind/,,,,2015-11-09
2019-11-12,A Bug's Life,1998,https://letterboxd.com/claycarson/film/a-bugs-life/,,,,2015-11-09
2019-11-12,A Charlie Brown Christmas,1965,https://letterboxd.com/claycarson/film/a-charlie-brown-christmas/,,,,2015-11-09
2019-11-12,"It's the Great Pumpkin, Charlie Brown",1966,https://letterboxd.com/claycarson/film/its-the-great-pumpkin-charlie-brown/,,,,2015-11-09
2019-11-12,A Christmas Story,1983,https://letterboxd.com/claycarson/film/a-christmas-story-1983/,,,,2015-11-09
2019-11-12,A Clockwork Orange,1971,https://letterboxd.com/claycarson/film/a-clockwork-orange/,,,,2015-11-09
2019-11-12,A Goofy Movie,1995,https://letterboxd.com/claycarson/film/a-goofy-movie/,,,,2015-11-09
2019-11-12,A League of Their Own,1992,https://letterboxd.com/claycarson/film/a-league-of-their-own/,,,,2015-11-09
2019-11-12,A Night at the Roxbury,1998,https://letterboxd.com/claycarson/film/a-night-at-the-roxbury/,,,,2015-11-09
2019-11-12,Accepted,2006,https://letterboxd.com/claycarson/film/accepted/,,,,2015-11-09
2019-11-12,Ace Ventura: Pet Detective,1994,https://letterboxd.com/claycarson/film/ace-ventura-pet-detective/,,,,2015-11-09
2019-11-12,Ace Ventura: When Nature Calls,1995,https://letterboxd.com/claycarson/film/ace-ventura-when-nature-calls/,,,,2015-11-09
2019-11-12,Act of Valor,2012,https://letterboxd.com/claycarson/film/act-of-valor/,,,,2015-11-09
2019-11-12,Adventureland,2009,https://letterboxd.com/claycarson/film/adventureland/,,,,2015-11-09
2019-11-12,Air Force One,1997,https://letterboxd.com/claycarson/film/air-force-one/,,,,2015-11-09
2019-11-12,Airheads,1994,https://letterboxd.com/claycarson/film/airheads/,,,,2015-11-09
2019-11-12,Airplane!,1980,https://letterboxd.com/claycarson/film/airplane/,,,,2015-11-09
2019-11-12,Airplane II: The Sequel,1982,https://letterboxd.com/claycarson/film/airplane-ii-the-sequel/,,,,2015-11-09
2019-11-12,Aladdin,1992,https://letterboxd.com/claycarson/film/aladdin/,,,,2015-11-09
2019-11-12,Alice in Wonderland,1951,https://letterboxd.com/claycarson/film/alice-in-wonderland-1951/,,,,2015-11-09
2019-11-12,Alley Cats Strike,2000,https://letterboxd.com/claycarson/film/alley-cats-strike/,,,,2015-11-09
2019-11-12,Almost Famous,2000,https://letterboxd.com/claycarson/film/almost-famous/,,,,2015-11-09
2019-11-12,American Gangster,2007,https://letterboxd.com/claycarson/film/american-gangster/,,,,2015-11-09
2019-11-12,American History X,1998,https://letterboxd.com/claycarson/film/american-history-x/,,,,2015-11-09
2019-11-12,American Hustle,2013,https://letterboxd.com/claycarson/film/american-hustle/,,,,2015-11-09
2019-11-12,American Pie,1999,https://letterboxd.com/claycarson/film/american-pie/,,,,2015-11-09
2019-11-12,American Pie 2,2001,https://letterboxd.com/claycarson/film/american-pie-2/,,,,2015-11-09
2019-11-12,American Wedding,2003,https://letterboxd.com/claycarson/film/american-wedding/,,,,2015-11-09
2019-11-12,American Psycho,2000,https://letterboxd.com/claycarson/film/american-psycho/,,,,2015-11-09
2019-11-12,American Sniper,2014,https://letterboxd.com/claycarson/film/american-sniper/,,,,2015-11-09
2019-11-12,An Inconvenient Truth,2006,https://letterboxd.com/claycarson/film/an-inconvenient-truth/,,,,2015-11-09
2019-11-12,Anchorman: The Legend of Ron Burgundy,2004,https://letterboxd.com/claycarson/film/anchorman-the-legend-of-ron-burgundy/,,,,2015-11-09
2019-11-12,Angels in the Outfield,1994,https://letterboxd.com/claycarson/film/angels-in-the-outfield-1994/,,,,2015-11-09
2019-11-12,Animal House,1978,https://letterboxd.com/claycarson/film/animal-house/,,,,2015-11-09
2019-11-12,Annie Hall,1977,https://letterboxd.com/claycarson/film/annie-hall/,,,,2015-11-09
2019-11-12,Antichrist,2009,https://letterboxd.com/claycarson/film/antichrist/,,,,2015-11-09
2019-11-12,Antz,1998,https://letterboxd.com/claycarson/film/antz/,,,,2015-11-09
2019-11-12,Apocalypse Now,1979,https://letterboxd.com/claycarson/film/apocalypse-now/,,,,2015-11-09
2019-11-12,Apollo 13,1995,https://letterboxd.com/claycarson/film/apollo-13/,,,,2015-11-09
2019-11-12,Argo,2012,https://letterboxd.com/claycarson/film/argo/,,,,2015-11-09
