Date,Name,Year,Letterboxd URI
2019-11-18,The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/
2019-11-18,Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/
2019-11-18,Hustlers,2019,https://letterboxd.com/film/hustlers-2019/
2019-11-22,John Wick: Chapter 3 - Parabellum,2019,https://letterboxd.com/film/john-wick-chapter-3-parabellum/
2019-11-22,Fast & Furious Presents: Hobbs & Shaw,2019,https://letterboxd.com/film/fast-furious-presents-hobbs-shaw/
2019-11-22,The Graduate,1967,https://letterboxd.com/film/the-graduate/
2019-11-22,The Aviator,2004,https://letterboxd.com/film/the-aviator/
2019-11-22,Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/
2019-11-22,Citizen Kane,1941,https://letterboxd.com/film/citizen-kane/
2019-11-22,North by Northwest,1959,https://letterboxd.com/film/north-by-northwest/
2019-11-22,A Quiet Place,2018,https://letterboxd.com/film/a-quiet-place-2018/
2019-11-22,Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
2019-11-22,Dances with Wolves,1990,https://letterboxd.com/film/dances-with-wolves/
2019-11-22,They Shall Not Grow Old,2018,https://letterboxd.com/film/they-shall-not-grow-old/
2019-11-22,The Goonies,1985,https://letterboxd.com/film/the-goonies/
2019-11-22,Donnie Brasco,1997,https://letterboxd.com/film/donnie-brasco/
2019-11-22,Blazing Saddles,1974,https://letterboxd.com/film/blazing-saddles/
2019-11-22,A Few Good Men,1992,https://letterboxd.com/film/a-few-good-men/
2019-11-22,Lethal Weapon,1987,https://letterboxd.com/film/lethal-weapon/
2019-11-22,Tombstone,1993,https://letterboxd.com/film/tombstone/
2019-11-22,Unbreakable,2000,https://letterboxd.com/film/unbreakable/
2019-11-22,The Green Mile,1999,https://letterboxd.com/film/the-green-mile/
2019-11-22,L.A. Confidential,1997,https://letterboxd.com/film/la-confidential/
2019-11-22,Enron: The Smartest Guys in the Room,2005,https://letterboxd.com/film/enron-the-smartest-guys-in-the-room/
2019-11-22,Butch Cassidy and the Sundance Kid,1969,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
2019-11-22,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
2019-11-22,Krisha,2015,https://letterboxd.com/film/krisha-2015/
2019-11-22,Tim's Vermeer,2013,https://letterboxd.com/film/tims-vermeer/
2019-11-22,The Raid,2011,https://letterboxd.com/film/the-raid-2011/
2019-11-22,Into the Wild,2007,https://letterboxd.com/film/into-the-wild/
2019-11-22,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/
2019-11-22,Point Break,1991,https://letterboxd.com/film/point-break/
2019-11-22,Sully,2016,https://letterboxd.com/film/sully/
2019-11-22,Creed,2015,https://letterboxd.com/film/creed/
2019-11-22,Glory,1989,https://letterboxd.com/film/glory/
2019-11-27,Once Upon a Time... in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
